t_fs,Re_E,Im_E,intensity
-742.1875,6.934373413145962,3.986203061119353,63.97534947742289
-741.2109375,6.772295636996127,3.9779570893739082,61.68813079977691
-740.234375,6.6117188127230175,3.9661788695214373,59.44540048355381
-739.2578125,6.452724484558812,3.950937133348691,57.24755750529835
-738.28125,6.295389661326364,3.9323039516842195,55.094945356366196
-737.3046875,6.139786440519583,3.910354362247303,52.98784877353465
-736.328125,5.9859816770720915,3.8851659327735346,50.92649096342686
-735.3515625,5.83403669549431,3.856818252397627,48.91103119640166
-734.375,5.684007044852343,3.8253923646522505,46.9415628294708
-733.3984375,5.535942312204201,3.7909701620295415,45.01811205345107
-732.421875,5.389886017820235,3.75363375024281,43.14063761605597
-731.4453125,5.245875603902179,3.713464779842959,41.309031522750175
-730.46875,5.103942512290049,3.6705437496812205,39.52312058708553
-729.4921875,4.9641123450108084,3.6249493027065087,37.78266882108111
-728.515625,4.826405113641844,3.5767575397325433,36.08738081902173
-727.5390625,4.6908355904315995,3.526041365200573,34.4369062455653
-726.5625,4.557413763918195,3.4728698665993574,32.830845325884844
-725.5859375,4.426145385607016,3.417307733123974,31.268755117399188
-724.609375,4.297032592105078,3.3594147340146376,29.750156452727914
-723.6328125,4.170074599672262,3.299245281896279,28.274541596946634
-722.65625,4.04526847573152,3.2368480943235722,26.84138262647336
-721.6796875,3.922609981673421,3.1722659539055362,25.450140350632157
-720.703125,3.802094464777586,3.105535570771812,24.10027350042136
-719.7265625,3.683717773763744,3.0366875651760434,22.791248005237716
-718.75,3.567477183862634,2.9657465924131126,21.522546307790456
-717.7734375,3.453372324834601,2.892731618521341,20.293676630726637
-716.796875,3.3414060946018767,2.817656338543147,19.104181931174942
-715.8203125,3.2315855227743406,2.7405297292323763,17.95364818781119
-714.84375,3.1239225457522353,2.6613567404869016,16.841711771994188
-713.8671875,3.018434670697719,2.580139130384877,15.768065793413278
-712.890625,2.91514551659044,2.4968764287508085,14.732465283348734
-711.9140625,2.814085211866921,2.411566994157548,13.734730946958164
-710.9375,2.715290615150748,2.324209129529349,12.774751202513302
