r_over_l_AGN,gamma_AGN,r_over_l_GRB,gamma_GRB,r_over_l_Pulsar,gamma_Pulsar
8.94415977e+01,2.72003206e+00,2.52604657e+03,3.84480770e+01,1.34243187e+04,1.44552273e+02
9.16899076e+01,2.74263502e+00,2.63778486e+03,3.90068275e+01,1.41481055e+04,1.47104831e+02
9.39947336e+01,2.76542582e+00,2.75446583e+03,3.95736981e+01,1.49109160e+04,1.49702463e+02
9.63574965e+01,2.78840600e+00,2.87630812e+03,4.01488067e+01,1.57148543e+04,1.52345966e+02
9.87796526e+01,2.81157714e+00,3.00354004e+03,4.07322732e+01,1.65621377e+04,1.55036148e+02
1.01262695e+02,2.83494084e+00,3.13640000e+03,4.13242190e+01,1.74551034e+04,1.57773835e+02
1.03808154e+02,2.85849867e+00,3.27513694e+03,4.19247673e+01,1.83962144e+04,1.60559865e+02
1.06417598e+02,2.88225227e+00,3.42001083e+03,4.25340431e+01,1.93880663e+04,1.63395091e+02
1.09092637e+02,2.90620326e+00,3.57129315e+03,4.31521733e+01,2.04333950e+04,1.66280383e+02
1.11834919e+02,2.93035328e+00,3.72926735e+03,4.37792865e+01,2.15350837e+04,1.69216625e+02
1.14646134e+02,2.95470398e+00,3.89422946e+03,4.44155133e+01,2.26961712e+04,1.72204715e+02
1.17528015e+02,2.97925703e+00,4.06648857e+03,4.50609861e+01,2.39198600e+04,1.75245571e+02
1.20482338e+02,3.00401411e+00,4.24636747e+03,4.57158393e+01,2.52095253e+04,1.78340123e+02
1.23510925e+02,3.02897692e+00,4.43420322e+03,4.63802093e+01,2.65687244e+04,1.81489320e+02
1.26615641e+02,3.05414716e+00,4.63034778e+03,4.70542342e+01,2.80012061e+04,1.84694127e+02
1.29798402e+02,3.07952656e+00,4.83516869e+03,4.77380545e+01,2.95109216e+04,1.87955525e+02
1.33061168e+02,3.10511686e+00,5.04904973e+03,4.84318125e+01,3.11020351e+04,1.91274515e+02
1.36405951e+02,3.13091982e+00,5.27239169e+03,4.91356526e+01,3.27789352e+04,1.94652112e+02
1.39834813e+02,3.15693719e+00,5.50561306e+03,4.98497213e+01,3.45462472e+04,1.98089352e+02
1.43349866e+02,3.18317076e+00,5.74915085e+03,5.05741673e+01,3.64088457e+04,2.01587288e+02
1.46953278e+02,3.20962232e+00,6.00346140e+03,5.13091414e+01,3.83718683e+04,2.05146992e+02
1.50647269e+02,3.23629370e+00,6.26902124e+03,5.20547965e+01,4.04407294e+04,2.08769555e+02
1.54434117e+02,3.26318671e+00,6.54632797e+03,5.28112880e+01,4.26211353e+04,2.12456087e+02
1.58316156e+02,3.29030319e+00,6.83590122e+03,5.35787732e+01,4.49191003e+04,2.16207716e+02
1.62295779e+02,3.31764501e+00,7.13828357e+03,5.43574120e+01,4.73409625e+04,2.20025593e+02
1.66375437e+02,3.34521403e+00,7.45404165e+03,5.51473665e+01,4.98934020e+04,2.23910888e+02
1.70557647e+02,3.37301214e+00,7.78376712e+03,5.59488010e+01,5.25834592e+04,2.27864790e+02
1.74844986e+02,3.40104126e+00,8.12807781e+03,5.67618825e+01,5.54185536e+04,2.31888513e+02
1.79240097e+02,3.42930329e+00,8.48761889e+03,5.75867801e+01,5.84065053e+04,2.35983287e+02
1.83745688e+02,3.45780017e+00,8.86306408e+03,5.84236657e+01,6.15555557e+04,2.40150369e+02
1.88364537e+02,3.48653386e+00,9.25511688e+03,5.92727134e+01,6.48743905e+04,2.44391034e+02
1.93099491e+02,3.51550631e+00,9.66451193e+03,6.01340999e+01,6.83721639e+04,2.48706583e+02
1.97953468e+02,3.54471953e+00,1.00920163e+04,6.10080046e+01,7.20585236e+04,2.53098338e+02
2.02929461e+02,3.57417550e+00,1.05384312e+04,6.18946095e+01,7.59436374e+04,2.57567643e+02
2.08030536e+02,3.60387624e+00,1.10045929e+04,6.27940990e+01,8.00382213e+04,2.62115870e+02
2.13259838e+02,3.63382379e+00,1.14913751e+04,6.37066604e+01,8.43535692e+04,2.66744410e+02
2.18620590e+02,3.66402020e+00,1.19996898e+04,6.46324838e+01,8.89015838e+04,2.71454683e+02
2.24116095e+02,3.69446754e+00,1.25304895e+04,6.55717617e+01,9.36948095e+04,2.76248132e+02
2.29749743e+02,3.72516789e+00,1.30847689e+04,6.65246898e+01,9.87464672e+04,2.81126226e+02
2.35525004e+02,3.75612335e+00,1.36635665e+04,6.74914664e+01,1.04070491e+05,2.86090458e+02
2.41445440e+02,3.78733605e+00,1.42679669e+04,6.84722928e+01,1.09681564e+05,2.91142351e+02
2.47514698e+02,3.81880812e+00,1.48991026e+04,6.94673731e+01,1.15595165e+05,2.96283452e+02
2.53736520e+02,3.85054171e+00,1.55581563e+04,7.04769146e+01,1.21827605e+05,3.01515337e+02
2.60114742e+02,3.88253901e+00,1.62463628e+04,7.15011273e+01,1.28396073e+05,3.06839608e+02
2.66653294e+02,3.91480220e+00,1.69650118e+04,7.25402245e+01,1.35318687e+05,3.12257897e+02
2.73356207e+02,3.94733349e+00,1.77154499e+04,7.35944224e+01,1.42614541e+05,3.17771865e+02
2.80227612e+02,3.98013511e+00,1.84990831e+04,7.46639406e+01,1.50303759e+05,3.23383200e+02
2.87271745e+02,4.01320930e+00,1.93173800e+04,7.57490017e+01,1.58407550e+05,3.29093622e+02
2.94492947e+02,4.04655833e+00,2.01718737e+04,7.68498315e+01,1.66948266e+05,3.34904881e+02
3.01895671e+02,4.08018449e+00,2.10641656e+04,7.79666593e+01,1.75949464e+05,3.40818757e+02
3.09484477e+02,4.11409008e+00,2.19959274e+04,7.90997174e+01,1.85435971e+05,3.46837063e+02
3.17264046e+02,4.14827741e+00,2.29689053e+04,8.02492419e+01,1.95433953e+05,3.52961642e+02
3.25239170e+02,4.18274884e+00,2.39849223e+04,8.14154719e+01,2.05970987e+05,3.59194372e+02
3.33414767e+02,4.21750672e+00,2.50458822e+04,8.25986503e+01,2.17076137e+05,3.65537161e+02
3.41795875e+02,4.25255343e+00,2.61537731e+04,8.37990233e+01,2.28780034e+05,3.71991954e+02
3.50387661e+02,4.28789137e+00,2.73106710e+04,8.50168409e+01,2.41114959e+05,3.78560727e+02
3.59195420e+02,4.32352296e+00,2.85187436e+04,8.62523565e+01,2.54114934e+05,3.85245495e+02
3.68224581e+02,4.35945064e+00,2.97802547e+04,8.75058274e+01,2.67815818e+05,3.92048305e+02
3.77480710e+02,4.39567688e+00,3.10975680e+04,8.87775144e+01,2.82255399e+05,3.98971241e+02
3.86969512e+02,4.43220415e+00,3.24731520e+04,9.00676824e+01,2.97473506e+05,4.06016426e+02
3.96696835e+02,4.46903495e+00,3.39095841e+04,9.13765999e+01,3.13512114e+05,4.13186016e+02
4.06668677e+02,4.50617182e+00,3.54095561e+04,9.27045393e+01,3.30415462e+05,4.20482210e+02
4.16891182e+02,4.54361728e+00,3.69758784e+04,9.40517772e+01,3.48230171e+05,4.27907243e+02
4.27370652e+02,4.58137391e+00,3.86114862e+04,9.54185939e+01,3.67005380e+05,4.35463390e+02
4.38113547e+02,4.61944428e+00,4.03194443e+04,9.68052740e+01,3.86792875e+05,4.43152967e+02
4.49126487e+02,4.65783102e+00,4.21029529e+04,9.82121062e+01,4.07647234e+05,4.50978329e+02
4.60416262e+02,4.69653674e+00,4.39653540e+04,9.96393833e+01,4.29625979e+05,4.58941874e+02
4.71989830e+02,4.73556410e+00,4.59101375e+04,1.01087402e+02,4.52789731e+05,4.67046042e+02
4.83854325e+02,4.77491577e+00,4.79409473e+04,1.02556465e+02,4.77202383e+05,4.75293316e+02
4.96017060e+02,4.81459445e+00,5.00615890e+04,1.04046877e+02,5.02931269e+05,4.83686224e+02
